Member,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
Congo,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*,,,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Costa Rica,Tariff,Yes,10,Yes,11,Yes,12,Yes,12,Yes,16,Yes,18,Yes,19,Yes,20,Yes,22,Yes,22
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
C?te d'Ivoire,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes*,,Yes*,,n.a.,,n.a.,
Cuba,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Democratic Republic of the Congo,Tariff,Yes,,,,,,,,Yes,,Yes,,Yes,,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Djibouti,Tariff,,,Yes,,Yes,,Yes*,,Yes,,,,,,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Dominica,Tariff,Yes,,Yes,,Yes,1,Yes,1,Yes,2,Yes,1,Yes,2,,,,,,
,Imports,Yes,,,,Yes,,,,,,,,,,,,n.a.,,n.a.,
Dominican Republic,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
Ecuador,Tariff,Yes,,Yes,1,Yes,23,Yes,,Yes,,Yes,25,Yes,25,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes*,,Yes*,,Yes*,,Yes*,,Yes,,n.a.,,n.a.,
Egypt,Tariff,Yes,10,Yes,10,Yes,8,Yes,8,Yes,8,Yes,8,Yes,8,Yes,8,Yes,8,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
El Salvador,Tariff,Yes,6,Yes,6,Yes,8,Yes,8,Yes,10,Yes,,Yes,,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Eswatini,Tariff,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,,,,,Yes,5
,Imports,,,,,,,Yes*,,Yes*,,Yes*,,Yes*,,,,n.a.,,n.a.,
European Union,Tariff,Yes,39,Yes,39,Yes,40,Yes,41,Yes,42,Yes,47,Yes,49,Yes,51,Yes,53,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Fiji,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes*,,n.a.,,n.a.,
Gabon,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,,,Yes*,Yes*,Yes,1,,,,,Yes*,
,Imports,Yes,,Yes,,Yes,,,,Yes*,,Yes*,,Yes*,,Yes*,,n.a.,,n.a.,
The Gambia,Tariff,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,1,Yes,1,Yes*,Yes*
,Imports,,,,,Yes,,Yes,,,,,,,,,,n.a.,,n.a.,
Georgia,Tariff,Yes,2,Yes,2,Yes,2,Yes,2,Yes,3,Yes,3,Yes,3,Yes,3,Yes,6,Yes,8
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Ghana,Tariff,Yes,,,,Yes,,Yes,,,,,,,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,,,,,,,,,n.a.,,n.a.,
Grenada,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,2,Yes,2,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Guatemala,Tariff,Yes,7,Yes,9,Yes,9,,,,,,,,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes*,,Yes*,,Yes*,,,,,,n.a.,,n.a.,
Guinea,Tariff,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,1,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,,Yes*,,,,n.a.,,n.a.,
Guinea-Bissau,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,,,,,Yes,1,Yes,1,Yes*,Yes*
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Guyana,Tariff,Yes,,Yes,,Yes,1,Yes,1,,,Yes,2,Yes,2,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes,,Yes,,Yes*,,n.a.,,n.a.,
Haiti,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,n.a.,,n.a.,
Honduras,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,6,Yes*,Yes*,,,Yes*,Yes*,Yes,9,,
,Imports,Yes,,,,,,,,,,,,,,,,n.a.,,n.a.,
"Hong Kong, China",Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
Iceland,Tariff,Yes,1,Yes,1,Yes,1,Yes,25,Yes,25,Yes,31,Yes,31,Yes,31,Yes,32,,
,Imports,Yes,,Yes,,,,,,,,,,,,,,n.a.,,n.a.,
India,Tariff,Yes,12,Yes,,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
Indonesia,Tariff,Yes,3,Yes,4,Yes,4,Yes,,Yes,,Yes,7,Yes,7,Yes,7,Yes*,Yes*,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Israel,Tariff,Yes*,,Yes,,Yes,,Yes,,Yes,11,Yes,11,Yes,11,Yes,11,Yes,11,Yes,11
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Jamaica,Tariff,Yes,,Yes,,Yes,1,Yes,1,Yes,,Yes,,Yes,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,n.a.,,n.a.,
Japan,Tariff,Yes,2,Yes,13,Yes,15,Yes,15,Yes,15,Yes,16,Yes,17,Yes,17,Yes,17,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Jordan,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,21,Yes,9,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Kazakhstan,Tariff,-a,,-a,,-a,,-a,,-a,,Yes,,Yes,4,Yes,5,Yes,5,Yes,5
,Imports,-a,,-a,,-a,,-a,,-a,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Kenya,Tariff,Yes,2,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,,,,,,,,,,,,,,,n.a.,,n.a.,
"Korea, Republic of",Tariff,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
"Kuwait, the State of",Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,4,Yes,4,,,,,,
,Imports,,,Yes,,Yes,,,,,,Yes,,,,,,n.a.,,n.a.,
Kyrgyz Republic,Tariff,Yes,2,Yes,,Yes,2,Yes,2,Yes,,,,,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,,Yes*,,n.a.,,n.a.,
Lao People's Democratic Republic,Tariff,-a,,-a,,-a,,,,Yes,6,Yes,6,Yes,5,Yes,5,Yes,5,,
,Imports,-a,,-a,,-a,,Yes*,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Lesotho,Tariff,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,,,,,Yes,5
,Imports,,,Yes,,Yes,,Yes*,,,,Yes*,,,,,,n.a.,,n.a.,
Liberia,Tariff,Yes,,Yes,,Yes,,Yes,,-a,,-a,,,,,,,,,
,Imports,-a,,-a,,-a,,-a,,-a,,-a,,,,,,n.a.,,n.a.,
"Macao, China",Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
