Member,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Chinese Taipei,Tariff,Yes,6,Yes,6,Yes,7,Yes,7,Yes,8,Yes,9,Yes,9,Yes,9,Yes,10,Yes,11
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
Tajikistan,Tariff,-a,,Yes,,Yes,,Yes,2,Yes,2,Yes,8,Yes,8,Yes*,Yes*,,,,
,Imports,-a,,-a,,-a,,,,,,,,,,,,n.a.,,n.a.,
Tanzania,Tariff,Yes,2,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,n.a.,,n.a.,
Thailand,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,1,Yes,1,Yes,1,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
Togo,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Tonga,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,n.a.,,n.a.,
Trinidad and Tobago,Tariff,Yes,,Yes,,Yes,1,Yes,1,,,,,,,,,Yes,,,
,Imports,Yes,,Yes*,,Yes*,,Yes*,,Yes*,,Yes*,,Yes*,,Yes*,,n.a.,,n.a.,
Tunisia,Tariff,Yes,,Yes,,Yes,,Yes,10,,,Yes,,Yes,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes,,Yes,,,,n.a.,,n.a.,
Turkey,Tariff,Yes,17,Yes,17,Yes*,Yes*,Yes,22,Yes*,Yes*,Yes,24,Yes,23,Yes*,Yes*,Yes*,Yes*,Yes*,Yes*
,Imports,Yes,,Yes,,Yes*,,Yes*,,Yes*,,Yes,,,,,,n.a.,,n.a.,
Uganda,Tariff,Yes,2,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,,n.a.,,n.a.,
Ukraine,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
United Arab Emirates,Tariff,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,4,,,,,,
,Imports,Yes*,,Yes,,,,,,,,,,,,,,n.a.,,n.a.,
United States of America,Tariff,Yes,20,Yes,20,Yes,20,Yes,23,Yes,21,Yes,21,Yes,21,Yes,22,Yes,22,Yes,22
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Uruguay,Tariff,Yes,1,Yes,12,Yes,1,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
Vanuatu,Tariff,-a,,-a,,Yes,1,,,,,Yes,2,Yes,2,Yes,,Yes,1,,
,Imports,-a,,-a,,,,,,,,,,,,,,n.a.,,n.a.,
"Venezuela, Bolivarian Republic of",Tariff,Yes,,Yes,,Yes,30,Yes,,Yes,,Yes,,Yes,,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,n.a.,,n.a.,
Viet Nam,Tariff,Yes,5,,,Yes,3,Yes,7,Yes,8,Yes,8,Yes,9,Yes,9,Yes,10,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Yemen,Tariff,-a,,-a,,-a,,-a,,,,Yes,1,Yes,,,,,,,
,Imports,-a,,-a,,-a,,-a,,,,,,,,,,n.a.,,n.a.,
Zambia,Tariff,Yes,2,Yes,2,Yes,2,Yes,,Yes,,Yes,2,Yes,2,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,n.a.,,n.a.,
Zimbabwe,Tariff,Yes,,Yes,4,Yes,,Yes,4,Yes,4,Yes,4,Yes,4,Yes,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,,n.a.,
Nb. of Members,Tariff,123,62,124,62,127,76,124,69,116,64,120,81,118,81,91,57,87,50,64,42
,Imports,109,,108,,105,,103,,102,,100,,87,,72,,26,,0,
